rpt_month,rpt_year,rptsrc,age,n
1,2016,medical,3,2
1,2016,police,0,4
1,2016,police,5,1
1,2016,police,10,1
1,2017,day care,0,1
1,2017,day care,1,6
1,2017,day care,2,1
1,2017,day care,3,3
1,2017,day care,4,4
1,2017,day care,5,3
1,2017,day care,6,3
1,2017,day care,7,2
1,2017,day care,8,1
1,2017,day care,9,3
1,2017,day care,10,1
1,2017,day care,16,1
1,2017,education,0,17
1,2017,education,1,24
1,2017,education,2,37
1,2017,education,3,36
1,2017,education,4,53
1,2017,education,5,77
1,2017,education,6,86
1,2017,education,7,85
1,2017,education,8,111
1,2017,education,9,84
1,2017,education,10,68
1,2017,education,11,60
1,2017,education,12,71
1,2017,education,13,67
1,2017,education,14,63
1,2017,education,15,70
1,2017,education,16,47
1,2017,education,17,26
1,2017,education,18,2
1,2017,education,NA,4
1,2017,medical,0,193
1,2017,medical,1,35
1,2017,medical,2,26
1,2017,medical,3,30
1,2017,medical,4,26
1,2017,medical,5,34
1,2017,medical,6,24
1,2017,medical,7,25
1,2017,medical,8,29
1,2017,medical,9,17
1,2017,medical,10,23
1,2017,medical,11,19
1,2017,medical,12,15
1,2017,medical,13,19
1,2017,medical,14,18
1,2017,medical,15,25
1,2017,medical,16,14
1,2017,medical,17,11
1,2017,medical,18,1
1,2017,medical,NA,3
1,2017,mental health,0,11
1,2017,mental health,1,4
1,2017,mental health,2,6
1,2017,mental health,3,7
1,2017,mental health,4,2
1,2017,mental health,5,15
1,2017,mental health,6,9
1,2017,mental health,7,12
1,2017,mental health,8,13
1,2017,mental health,9,16
1,2017,mental health,10,18
1,2017,mental health,11,12
1,2017,mental health,12,18
1,2017,mental health,13,20
1,2017,mental health,14,19
1,2017,mental health,15,22
1,2017,mental health,16,23
1,2017,mental health,17,17
1,2017,mental health,18,1
1,2017,non-professional,0,124
1,2017,non-professional,1,100
1,2017,non-professional,2,101
1,2017,non-professional,3,101
1,2017,non-professional,4,120
1,2017,non-professional,5,99
1,2017,non-professional,6,128
1,2017,non-professional,7,106
1,2017,non-professional,8,111
1,2017,non-professional,9,107
1,2017,non-professional,10,84
1,2017,non-professional,11,98
1,2017,non-professional,12,96
1,2017,non-professional,13,76
1,2017,non-professional,14,81
1,2017,non-professional,15,93
1,2017,non-professional,16,72
1,2017,non-professional,17,32
1,2017,non-professional,18,2
1,2017,non-professional,NA,19
1,2017,police,0,118
1,2017,police,1,91
1,2017,police,2,96
1,2017,police,3,76
1,2017,police,4,73
1,2017,police,5,85
1,2017,police,6,72
1,2017,police,7,73
1,2017,police,8,57
1,2017,police,9,66
1,2017,police,10,57
1,2017,police,11,70
1,2017,police,12,47
1,2017,police,13,48
1,2017,police,14,55
1,2017,police,15,56
1,2017,police,16,62
1,2017,police,17,35
1,2017,police,18,3
1,2017,police,NA,6
1,2017,social services,0,72
1,2017,social services,1,32
1,2017,social services,2,28
1,2017,social services,3,30
1,2017,social services,4,30
1,2017,social services,5,30
1,2017,social services,6,37
1,2017,social services,7,42
1,2017,social services,8,31
1,2017,social services,9,28
1,2017,social services,10,37
1,2017,social services,11,28
1,2017,social services,12,31
1,2017,social services,13,32
1,2017,social services,14,30
1,2017,social services,15,35
1,2017,social services,16,26
1,2017,social services,17,13
1,2017,social services,18,2
1,2017,social services,NA,1
1,2017,substitute care ,0,2
1,2017,substitute care ,2,1
1,2017,substitute care ,4,1
1,2017,substitute care ,5,1
1,2017,substitute care ,7,1
1,2017,substitute care ,8,1
1,2017,substitute care ,9,2
1,2017,substitute care ,10,3
1,2017,substitute care ,11,1
1,2017,substitute care ,14,1
1,2017,substitute care ,16,1
1,2017,substitute care ,17,3
1,2017,NA,0,7
1,2017,NA,1,5
1,2017,NA,2,8
1,2017,NA,3,1
1,2017,NA,4,10
1,2017,NA,5,6
1,2017,NA,6,6
1,2017,NA,7,7
1,2017,NA,8,6
1,2017,NA,9,5
1,2017,NA,10,6
1,2017,NA,11,8
1,2017,NA,12,4
1,2017,NA,13,6
1,2017,NA,14,4
1,2017,NA,15,8
1,2017,NA,16,2
1,2017,NA,17,2
1,2017,NA,NA,2
1,2018,day care,0,144
1,2018,day care,1,203
1,2018,day care,2,236
1,2018,day care,3,334
1,2018,day care,4,317
1,2018,day care,5,186
1,2018,day care,6,88
